1 []
2 []
3 [['car: 100%', 'Left=412,', 'Top=374,', 'Right=698,', 'Bottom=597'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=980,', 'Bottom=491'], ['truck: 95%', 'Left=7,', 'Top=289,', 'Right=446,', 'Bottom=608'], ['car: 69%', 'Left=722,', 'Top=384,', 'Right=760,', 'Bottom=426'], ['truck: 50%', 'Left=322,', 'Top=311,', 'Right=498,', 'Bottom=400']]
4 [['car: 100%', 'Left=413,', 'Top=374,', 'Right=697,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 95%', 'Left=7,', 'Top=289,', 'Right=446,', 'Bottom=608'], ['car: 65%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 59%', 'Left=320,', 'Top=311,', 'Right=500,', 'Bottom=400']]
5 [['car: 100%', 'Left=414,', 'Top=373,', 'Right=696,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 95%', 'Left=8,', 'Top=289,', 'Right=445,', 'Bottom=608'], ['car: 61%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 64%', 'Left=318,', 'Top=311,', 'Right=500,', 'Bottom=400']]
6 [['car: 100%', 'Left=415,', 'Top=372,', 'Right=695,', 'Bottom=599'], ['car: 99%', 'Left=805,', 'Top=378,', 'Right=978,', 'Bottom=491'], ['truck: 95%', 'Left=8,', 'Top=290,', 'Right=444,', 'Bottom=607'], ['truck: 68%', 'Left=316,', 'Top=311,', 'Right=499,', 'Bottom=400'], ['car: 57%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425']]
7 [['car: 100%', 'Left=415,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 99%', 'Left=805,', 'Top=378,', 'Right=978,', 'Bottom=491'], ['truck: 94%', 'Left=8,', 'Top=291,', 'Right=442,', 'Bottom=607'], ['truck: 68%', 'Left=314,', 'Top=312,', 'Right=500,', 'Bottom=400'], ['car: 57%', 'Left=722,', 'Top=383,', 'Right=760,', 'Bottom=425']]
8 [['car: 100%', 'Left=416,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 99%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 94%', 'Left=8,', 'Top=292,', 'Right=441,', 'Bottom=606'], ['car: 58%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 66%', 'Left=312,', 'Top=312,', 'Right=501,', 'Bottom=400']]
9 [['car: 100%', 'Left=417,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 94%', 'Left=7,', 'Top=292,', 'Right=441,', 'Bottom=606'], ['car: 59%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 61%', 'Left=310,', 'Top=312,', 'Right=503,', 'Bottom=399']]
10 [['car: 100%', 'Left=417,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 95%', 'Left=7,', 'Top=292,', 'Right=441,', 'Bottom=607'], ['car: 58%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 55%', 'Left=310,', 'Top=312,', 'Right=503,', 'Bottom=399']]
11 [['car: 100%', 'Left=418,', 'Top=372,', 'Right=694,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 96%', 'Left=8,', 'Top=292,', 'Right=442,', 'Bottom=607'], ['car: 58%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425'], ['truck: 50%', 'Left=310,', 'Top=311,', 'Right=503,', 'Bottom=399']]
12 [['car: 100%', 'Left=417,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 96%', 'Left=8,', 'Top=292,', 'Right=442,', 'Bottom=607'], ['car: 59%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=425']]
68 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=694,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=492'], ['truck: 95%', 'Left=3,', 'Top=286,', 'Right=446,', 'Bottom=606'], ['car: 60%', 'Left=720,', 'Top=383,', 'Right=760,', 'Bottom=425']]
69 [['car: 100%', 'Left=416,', 'Top=373,', 'Right=694,', 'Bottom=599'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=492'], ['truck: 95%', 'Left=3,', 'Top=285,', 'Right=445,', 'Bottom=606'], ['car: 60%', 'Left=720,', 'Top=383,', 'Right=760,', 'Bottom=425']]
70 [['car: 100%', 'Left=416,', 'Top=372,', 'Right=694,', 'Bottom=599'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 96%', 'Left=2,', 'Top=284,', 'Right=446,', 'Bottom=606'], ['car: 60%', 'Left=720,', 'Top=383,', 'Right=760,', 'Bottom=426']]
71 [['car: 100%', 'Left=416,', 'Top=372,', 'Right=694,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=380,', 'Right=979,', 'Bottom=491'], ['truck: 96%', 'Left=2,', 'Top=284,', 'Right=447,', 'Bottom=606'], ['car: 60%', 'Left=720,', 'Top=383,', 'Right=760,', 'Bottom=426']]
72 [['car: 100%', 'Left=416,', 'Top=371,', 'Right=694,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=380,', 'Right=979,', 'Bottom=491'], ['truck: 96%', 'Left=1,', 'Top=283,', 'Right=447,', 'Bottom=606'], ['car: 60%', 'Left=720,', 'Top=383,', 'Right=760,', 'Bottom=426']]
73 [['car: 100%', 'Left=415,', 'Top=371,', 'Right=694,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=380,', 'Right=979,', 'Bottom=491'], ['truck: 96%', 'Left=1,', 'Top=283,', 'Right=447,', 'Bottom=605'], ['car: 61%', 'Left=720,', 'Top=383,', 'Right=760,', 'Bottom=426']]
74 [['car: 100%', 'Left=416,', 'Top=372,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=380,', 'Right=979,', 'Bottom=491'], ['truck: 96%', 'Left=1,', 'Top=283,', 'Right=446,', 'Bottom=606'], ['car: 61%', 'Left=720,', 'Top=384,', 'Right=760,', 'Bottom=426']]
75 [['car: 100%', 'Left=416,', 'Top=372,', 'Right=694,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 95%', 'Left=2,', 'Top=284,', 'Right=446,', 'Bottom=606'], ['car: 64%', 'Left=720,', 'Top=384,', 'Right=760,', 'Bottom=426']]
76 [['car: 100%', 'Left=416,', 'Top=372,', 'Right=694,', 'Bottom=599'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 95%', 'Left=3,', 'Top=286,', 'Right=445,', 'Bottom=606'], ['car: 66%', 'Left=720,', 'Top=384,', 'Right=760,', 'Bottom=426']]
77 [['car: 100%', 'Left=416,', 'Top=372,', 'Right=694,', 'Bottom=599'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 95%', 'Left=4,', 'Top=286,', 'Right=445,', 'Bottom=606'], ['car: 67%', 'Left=720,', 'Top=384,', 'Right=760,', 'Bottom=426']]
78 [['car: 100%', 'Left=416,', 'Top=373,', 'Right=694,', 'Bottom=598'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=978,', 'Bottom=491'], ['truck: 95%', 'Left=4,', 'Top=286,', 'Right=445,', 'Bottom=605'], ['car: 67%', 'Left=720,', 'Top=384,', 'Right=760,', 'Bottom=425']]
79 [['car: 100%', 'Left=416,', 'Top=373,', 'Right=694,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=380,', 'Right=978,', 'Bottom=491'], ['truck: 94%', 'Left=4,', 'Top=287,', 'Right=447,', 'Bottom=604'], ['car: 65%', 'Left=720,', 'Top=384,', 'Right=760,', 'Bottom=425']]
80 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=380,', 'Right=978,', 'Bottom=491'], ['truck: 93%', 'Left=4,', 'Top=289,', 'Right=448,', 'Bottom=603'], ['car: 66%', 'Left=720,', 'Top=383,', 'Right=760,', 'Bottom=425']]
81 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=380,', 'Right=979,', 'Bottom=491'], ['truck: 93%', 'Left=4,', 'Top=290,', 'Right=448,', 'Bottom=603'], ['car: 66%', 'Left=720,', 'Top=383,', 'Right=760,', 'Bottom=426']]
82 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=380,', 'Right=979,', 'Bottom=491'], ['truck: 93%', 'Left=3,', 'Top=289,', 'Right=447,', 'Bottom=603'], ['car: 68%', 'Left=720,', 'Top=383,', 'Right=761,', 'Bottom=425']]
83 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 93%', 'Left=3,', 'Top=288,', 'Right=446,', 'Bottom=604'], ['car: 67%', 'Left=720,', 'Top=383,', 'Right=761,', 'Bottom=426']]
84 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 94%', 'Left=3,', 'Top=287,', 'Right=445,', 'Bottom=605'], ['car: 67%', 'Left=720,', 'Top=382,', 'Right=761,', 'Bottom=426']]
85 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 94%', 'Left=3,', 'Top=286,', 'Right=445,', 'Bottom=605'], ['car: 66%', 'Left=720,', 'Top=382,', 'Right=761,', 'Bottom=426']]
86 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 94%', 'Left=3,', 'Top=286,', 'Right=446,', 'Bottom=605'], ['car: 66%', 'Left=720,', 'Top=383,', 'Right=761,', 'Bottom=426']]
87 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 94%', 'Left=3,', 'Top=288,', 'Right=446,', 'Bottom=605'], ['car: 66%', 'Left=720,', 'Top=382,', 'Right=761,', 'Bottom=426']]
88 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=696,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 95%', 'Left=3,', 'Top=288,', 'Right=447,', 'Bottom=606'], ['car: 65%', 'Left=720,', 'Top=382,', 'Right=760,', 'Bottom=426']]
89 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=980,', 'Bottom=491'], ['truck: 94%', 'Left=2,', 'Top=289,', 'Right=447,', 'Bottom=605'], ['car: 65%', 'Left=720,', 'Top=382,', 'Right=760,', 'Bottom=426']]
90 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 94%', 'Left=2,', 'Top=287,', 'Right=448,', 'Bottom=605'], ['car: 65%', 'Left=720,', 'Top=382,', 'Right=761,', 'Bottom=426']]
91 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=598'], ['car: 100%', 'Left=804,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 94%', 'Left=1,', 'Top=287,', 'Right=448,', 'Bottom=605'], ['car: 65%', 'Left=720,', 'Top=382,', 'Right=761,', 'Bottom=426']]
92 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=597'], ['car: 100%', 'Left=805,', 'Top=380,', 'Right=979,', 'Bottom=491'], ['truck: 94%', 'Left=1,', 'Top=287,', 'Right=448,', 'Bottom=604'], ['car: 65%', 'Left=720,', 'Top=382,', 'Right=761,', 'Bottom=426']]
93 [['car: 100%', 'Left=414,', 'Top=373,', 'Right=695,', 'Bottom=597'], ['car: 100%', 'Left=805,', 'Top=380,', 'Right=979,', 'Bottom=491'], ['truck: 94%', 'Left=1,', 'Top=287,', 'Right=448,', 'Bottom=604'], ['car: 64%', 'Left=720,', 'Top=382,', 'Right=761,', 'Bottom=426']]
94 [['car: 100%', 'Left=413,', 'Top=373,', 'Right=696,', 'Bottom=597'], ['car: 100%', 'Left=805,', 'Top=380,', 'Right=979,', 'Bottom=491'], ['truck: 94%', 'Left=1,', 'Top=287,', 'Right=448,', 'Bottom=603'], ['car: 65%', 'Left=721,', 'Top=383,', 'Right=761,', 'Bottom=426']]
95 [['car: 100%', 'Left=414,', 'Top=373,', 'Right=696,', 'Bottom=597'], ['car: 100%', 'Left=805,', 'Top=380,', 'Right=979,', 'Bottom=491'], ['truck: 94%', 'Left=1,', 'Top=287,', 'Right=448,', 'Bottom=604'], ['car: 65%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=426']]
96 [['car: 100%', 'Left=414,', 'Top=373,', 'Right=695,', 'Bottom=597'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 94%', 'Left=2,', 'Top=286,', 'Right=448,', 'Bottom=605'], ['car: 65%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=426']]
97 [['car: 100%', 'Left=414,', 'Top=373,', 'Right=695,', 'Bottom=597'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 94%', 'Left=2,', 'Top=287,', 'Right=448,', 'Bottom=605'], ['car: 65%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=426']]
98 [['car: 100%', 'Left=414,', 'Top=373,', 'Right=695,', 'Bottom=597'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 93%', 'Left=1,', 'Top=286,', 'Right=448,', 'Bottom=605'], ['car: 65%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=426']]
99 [['car: 100%', 'Left=414,', 'Top=373,', 'Right=695,', 'Bottom=597'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 93%', 'Left=1,', 'Top=287,', 'Right=447,', 'Bottom=605'], ['car: 65%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=426']]
100 [['car: 100%', 'Left=415,', 'Top=373,', 'Right=695,', 'Bottom=597'], ['car: 100%', 'Left=805,', 'Top=379,', 'Right=979,', 'Bottom=491'], ['truck: 93%', 'Left=1,', 'Top=287,', 'Right=447,', 'Bottom=604'], ['car: 64%', 'Left=721,', 'Top=383,', 'Right=760,', 'Bottom=426']]
