1 []
2 []
3 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=453,', 'Bottom=376'], ['car: 81%', 'Left=43,', 'Top=350,', 'Right=83,', 'Bottom=374'], ['car: 74%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 73%', 'Left=156,', 'Top=351,', 'Right=208,', 'Bottom=377'], ['car: 56%', 'Left=606,', 'Top=350,', 'Right=654,', 'Bottom=379']]
67 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 80%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 78%', 'Left=318,', 'Top=348,', 'Right=396,', 'Bottom=380'], ['car: 62%', 'Left=605,', 'Top=352,', 'Right=654,', 'Bottom=380'], ['car: 69%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378']]
68 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 79%', 'Left=318,', 'Top=348,', 'Right=396,', 'Bottom=380'], ['car: 62%', 'Left=606,', 'Top=352,', 'Right=653,', 'Bottom=380'], ['car: 70%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378']]
69 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 81%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 62%', 'Left=607,', 'Top=352,', 'Right=653,', 'Bottom=380'], ['car: 71%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378']]
70 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 82%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 80%', 'Left=43,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 72%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 61%', 'Left=607,', 'Top=352,', 'Right=652,', 'Bottom=380']]
71 [['car: 92%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 82%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 80%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 74%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 61%', 'Left=606,', 'Top=352,', 'Right=653,', 'Bottom=380']]
72 [['car: 92%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 80%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 74%', 'Left=154,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 61%', 'Left=606,', 'Top=352,', 'Right=654,', 'Bottom=380']]
73 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 79%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 80%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 74%', 'Left=153,', 'Top=351,', 'Right=208,', 'Bottom=378'], ['car: 62%', 'Left=606,', 'Top=352,', 'Right=654,', 'Bottom=380']]
74 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 80%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 78%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 74%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 61%', 'Left=606,', 'Top=352,', 'Right=654,', 'Bottom=380']]
75 [['car: 91%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=42,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 78%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 75%', 'Left=154,', 'Top=350,', 'Right=209,', 'Bottom=378'], ['car: 61%', 'Left=606,', 'Top=352,', 'Right=653,', 'Bottom=380']]
76 [['car: 90%', 'Left=405,', 'Top=354,', 'Right=451,', 'Bottom=376'], ['car: 81%', 'Left=42,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 78%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 76%', 'Left=153,', 'Top=350,', 'Right=209,', 'Bottom=379'], ['car: 60%', 'Left=606,', 'Top=352,', 'Right=653,', 'Bottom=380']]
77 [['car: 90%', 'Left=405,', 'Top=353,', 'Right=451,', 'Bottom=376'], ['car: 81%', 'Left=42,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 79%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 76%', 'Left=154,', 'Top=350,', 'Right=209,', 'Bottom=378'], ['car: 59%', 'Left=606,', 'Top=352,', 'Right=653,', 'Bottom=380']]
78 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=451,', 'Bottom=376'], ['car: 81%', 'Left=42,', 'Top=350,', 'Right=82,', 'Bottom=375'], ['car: 80%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 76%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 56%', 'Left=606,', 'Top=352,', 'Right=653,', 'Bottom=380']]
79 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=451,', 'Bottom=377'], ['car: 81%', 'Left=319,', 'Top=349,', 'Right=395,', 'Bottom=379'], ['car: 80%', 'Left=42,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 74%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 55%', 'Left=606,', 'Top=352,', 'Right=653,', 'Bottom=380']]
80 [['car: 90%', 'Left=404,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=319,', 'Top=349,', 'Right=395,', 'Bottom=379'], ['car: 79%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 73%', 'Left=155,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 55%', 'Left=607,', 'Top=352,', 'Right=652,', 'Bottom=380']]
81 [['car: 91%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 80%', 'Left=43,', 'Top=351,', 'Right=82,', 'Bottom=375'], ['car: 78%', 'Left=319,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 71%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378'], ['car: 57%', 'Left=607,', 'Top=352,', 'Right=653,', 'Bottom=380']]
82 [['car: 92%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 82%', 'Left=43,', 'Top=350,', 'Right=83,', 'Bottom=375'], ['car: 77%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=380'], ['car: 59%', 'Left=607,', 'Top=351,', 'Right=653,', 'Bottom=380'], ['car: 71%', 'Left=153,', 'Top=351,', 'Right=209,', 'Bottom=378']]
83 [['car: 93%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 83%', 'Left=43,', 'Top=350,', 'Right=84,', 'Bottom=375'], ['car: 76%', 'Left=319,', 'Top=348,', 'Right=397,', 'Bottom=380'], ['car: 61%', 'Left=607,', 'Top=350,', 'Right=653,', 'Bottom=380'], ['car: 70%', 'Left=153,', 'Top=350,', 'Right=209,', 'Bottom=378']]
84 [['car: 93%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 83%', 'Left=43,', 'Top=350,', 'Right=84,', 'Bottom=375'], ['car: 78%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=380'], ['car: 61%', 'Left=607,', 'Top=351,', 'Right=653,', 'Bottom=380'], ['car: 71%', 'Left=153,', 'Top=350,', 'Right=209,', 'Bottom=378']]
85 [['car: 92%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 82%', 'Left=44,', 'Top=350,', 'Right=84,', 'Bottom=375'], ['car: 79%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 60%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 72%', 'Left=153,', 'Top=351,', 'Right=209,', 'Bottom=378']]
86 [['car: 92%', 'Left=404,', 'Top=353,', 'Right=452,', 'Bottom=376'], ['car: 81%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 82%', 'Left=43,', 'Top=350,', 'Right=83,', 'Bottom=375'], ['car: 60%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 72%', 'Left=153,', 'Top=351,', 'Right=209,', 'Bottom=378']]
87 [['car: 91%', 'Left=403,', 'Top=353,', 'Right=452,', 'Bottom=377'], ['car: 82%', 'Left=43,', 'Top=350,', 'Right=83,', 'Bottom=375'], ['car: 81%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 62%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 71%', 'Left=152,', 'Top=351,', 'Right=209,', 'Bottom=378']]
88 [['car: 92%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 83%', 'Left=43,', 'Top=350,', 'Right=83,', 'Bottom=375'], ['car: 81%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 63%', 'Left=604,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 71%', 'Left=152,', 'Top=351,', 'Right=209,', 'Bottom=378']]
89 [['car: 92%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 84%', 'Left=43,', 'Top=350,', 'Right=83,', 'Bottom=375'], ['car: 82%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 63%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 70%', 'Left=151,', 'Top=350,', 'Right=210,', 'Bottom=379']]
90 [['car: 92%', 'Left=402,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 83%', 'Left=43,', 'Top=350,', 'Right=83,', 'Bottom=375'], ['car: 81%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 63%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 70%', 'Left=151,', 'Top=351,', 'Right=210,', 'Bottom=378']]
91 [['car: 92%', 'Left=402,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 83%', 'Left=43,', 'Top=350,', 'Right=84,', 'Bottom=375'], ['car: 81%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 61%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 69%', 'Left=152,', 'Top=351,', 'Right=209,', 'Bottom=378']]
92 [['car: 92%', 'Left=402,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 82%', 'Left=43,', 'Top=350,', 'Right=84,', 'Bottom=375'], ['car: 81%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=380'], ['car: 60%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 68%', 'Left=152,', 'Top=351,', 'Right=209,', 'Bottom=378']]
93 [['car: 92%', 'Left=402,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 82%', 'Left=43,', 'Top=350,', 'Right=84,', 'Bottom=375'], ['car: 80%', 'Left=320,', 'Top=348,', 'Right=396,', 'Bottom=380'], ['car: 58%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 67%', 'Left=153,', 'Top=351,', 'Right=209,', 'Bottom=378']]
94 [['car: 92%', 'Left=402,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 82%', 'Left=43,', 'Top=350,', 'Right=83,', 'Bottom=375'], ['car: 78%', 'Left=320,', 'Top=348,', 'Right=396,', 'Bottom=380'], ['car: 59%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 66%', 'Left=153,', 'Top=351,', 'Right=209,', 'Bottom=378']]
95 [['car: 92%', 'Left=402,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 82%', 'Left=43,', 'Top=350,', 'Right=83,', 'Bottom=375'], ['car: 77%', 'Left=320,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 60%', 'Left=606,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 65%', 'Left=153,', 'Top=351,', 'Right=209,', 'Bottom=378']]
96 [['car: 92%', 'Left=402,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 82%', 'Left=43,', 'Top=350,', 'Right=83,', 'Bottom=376'], ['car: 77%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=380'], ['car: 62%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 65%', 'Left=153,', 'Top=351,', 'Right=210,', 'Bottom=378']]
97 [['car: 92%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 82%', 'Left=43,', 'Top=350,', 'Right=83,', 'Bottom=376'], ['car: 77%', 'Left=319,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 64%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 66%', 'Left=153,', 'Top=351,', 'Right=210,', 'Bottom=378']]
98 [['car: 92%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=43,', 'Top=350,', 'Right=83,', 'Bottom=376'], ['car: 78%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 64%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 65%', 'Left=153,', 'Top=351,', 'Right=209,', 'Bottom=378']]
99 [['car: 92%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 81%', 'Left=43,', 'Top=350,', 'Right=83,', 'Bottom=376'], ['car: 78%', 'Left=320,', 'Top=348,', 'Right=395,', 'Bottom=379'], ['car: 63%', 'Left=605,', 'Top=351,', 'Right=653,', 'Bottom=380'], ['car: 64%', 'Left=154,', 'Top=351,', 'Right=209,', 'Bottom=378']]
100 [['car: 91%', 'Left=403,', 'Top=354,', 'Right=452,', 'Bottom=377'], ['car: 80%', 'Left=44,', 'Top=350,', 'Right=83,', 'Bottom=376'], ['car: 78%', 'Left=320,', 'Top=348,', 'Right=396,', 'Bottom=379'], ['car: 63%', 'Left=605,', 'Top=351,', 'Right=654,', 'Bottom=380'], ['car: 62%', 'Left=126,', 'Top=347,', 'Right=208,', 'Bottom=379']]
